current_filename,full_path,old_filename,proposed_date,current_exif_date,directory,dir_year,file_modified,confidence,reasoning,date_differs,update_reason
IMG_20230726_175337.heic,/Volumes/photo-1/2023/2023/IMG_20230726_175337.heic,IMG_20230726_175337.HEIC,2023-07-26 17:53:37,NONE,2023/2023,2023,2023-07-26T17:53:37,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230726_175337_1.heic,/Volumes/photo-1/2023/2023/IMG_20230726_175337_1.heic,IMG20230726_175337.heic,2023-07-26 17:53:37,NONE,2023/2023,2023,2023-07-26T17:53:37.279000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230729_103918.heic,/Volumes/photo-1/2023/2023/IMG_20230729_103918.heic,IMG20230729_103918.heic,2023-07-29 10:39:18,NONE,2023/2023,2023,2023-07-29T10:39:18.401000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230729_103921.heic,/Volumes/photo-1/2023/2023/IMG_20230729_103921.heic,IMG20230729_103921.heic,2023-07-29 10:39:21,NONE,2023/2023,2023,2023-07-29T10:39:21.877000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230729_114520.heic,/Volumes/photo-1/2023/2023/IMG_20230729_114520.heic,IMG20230729_114520.heic,2023-07-29 11:45:20,NONE,2023/2023,2023,2023-07-29T11:45:20.917000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230729_114526.heic,/Volumes/photo-1/2023/2023/IMG_20230729_114526.heic,IMG20230729_114526.heic,2023-07-29 11:45:26,NONE,2023/2023,2023,2023-07-29T11:45:26.266000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230729_140926.heic,/Volumes/photo-1/2023/2023/IMG_20230729_140926.heic,IMG20230729_140926.heic,2023-07-29 14:09:26,NONE,2023/2023,2023,2023-07-29T14:09:26.929000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230729_140940.heic,/Volumes/photo-1/2023/2023/IMG_20230729_140940.heic,IMG20230729_140940.heic,2023-07-29 14:09:40,NONE,2023/2023,2023,2023-07-29T14:09:40.300000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230730_130846.heic,/Volumes/photo-1/2023/2023/IMG_20230730_130846.heic,IMG20230730_130846.heic,2023-07-30 13:08:46,NONE,2023/2023,2023,2023-07-30T13:08:46.538000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
IMG_20230730_130850.heic,/Volumes/photo-1/2023/2023/IMG_20230730_130850.heic,IMG20230730_130850.heic,2023-07-30 13:08:50,NONE,2023/2023,2023,2023-07-30T13:08:50.788000,HIGH,Old filename year (2023) matches directory (2023); Old filename date matches File Modified date; Directory year (2023) matches File Modified year,YES,No EXIF data
